Table ES-2:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2  Eq.),,,,,,,,,,
Stationary Combustion,25.1,,34.3,,33.0,30.5,30.0,28.6,28.4,
Manure Management,14.0,,16.4,,17.3,17.5,18.1,18.7,19.4,
Mobile Combustion,42.0,,37.3,,19.7,18.3,17.4,16.3,15.2,
Adipic Acid Production,15.2,,7.1,,5.4,4.3,7.0,7.4,10.3,
Nitric Acid Production,12.1,,11.3,,10.9,11.6,10.1,9.3,9.3,
Wastewater Treatment,3.4,,4.4,,4.8,4.8,4.9,5.0,5.0,
N2O from Product Uses,4.2,,4.2,,4.2,4.2,4.2,4.2,4.2,
Composting,0.3,,1.7,,1.9,1.9,2.0,2.2,2.2,
"Caprolactam, Glyoxal, and Glyoxylic
Acid Production",1.7,,2.1,,2.0,1.9,1.7,1.5,1.4,
Incineration of Waste,0.5,,0.4,,0.3,0.3,0.3,0.3,0.3,
Electronics Industry,+,,0.1,,0.2,0.2,0.2,0.3,0.3,
Field Burning of Agricultural Residues,0.2,,0.2,,0.2,0.2,0.2,0.2,0.2,
Petroleum Systems,+,,+,,+,+,+,+,0.1,
Natural Gas Systems,+,,+,,+,+,+,+,+,
International Bunker Fuelsb,0.9,,1.0,,0.9,1.0,1.0,1.1,1.1,
HFCs,46.5,,128.7,,166.3,170.5,170.5,172.5,171.6,
"Substitution of Ozone Depleting
Substancesd",0.2,,108.4,,160.9,165.8,167.3,166.9,167.8,
HCFC-22 Production,46.1,,20.0,,5.0,4.3,2.8,5.2,3.3,
Electronics Industry,0.2,,0.2,,0.3,0.3,0.3,0.4,0.4,
"Magnesium Production and
Processing",0.0,,0.0,,0.1,0.1,0.1,0.1,0.1,
PFCs,24.3,,6.7,,5.6,5.1,4.3,4.0,4.6,
Electronics Industry,2.8,,3.2,,3.1,3.0,2.9,2.9,3.0,
Aluminum Production,21.5,,3.4,,2.5,2.0,1.4,1.0,1.6,
"Substitution of Ozone Depleting
Substances",0.0,,+,,+,+,+,+,0.1,
SF6,28.8,,11.8,,6.5,5.5,6.1,5.9,5.9,
"Electrical Transmission and
Distribution",23.2,,8.4,,4.8,3.8,4.1,4.1,4.1,
"Magnesium Production and
Processing",5.2,,2.7,,0.9,1.0,1.1,1.1,1.1,
Electronics Industry,0.5,,0.7,,0.7,0.7,0.8,0.7,0.8,
NF3,+,,0.5,,0.5,0.6,0.6,0.6,0.6,
Electronics Industry,+,,0.5,,0.5,0.6,0.6,0.6,0.6,
"Unspecified Mix of HFCs, PFCs, SF6, and
NF3",+,,+,,+,+,+,+,+,
Electronics Industry,+,,+,,+,+,+,+,+,
Total Emissions,"6,437.0",,"7,391.8",,"6,829.0","6,676.4","6,524.1","6,488.2","6,676.6",
LULUCF Emissionsc,7.4,,16.3,,16.6,27.4,12.8,26.1,26.1,
LULUCF CH4 Emissions,4.4,,8.8,,9.5,16.1,7.3,15.2,15.2,
LULUCF N2O Emissions,3.0,,7.5,,7.0,11.2,5.5,10.8,10.9,
LULUCF Carbon Stock Changee,(860.7),,(831.0),,(739.6),(802.9),(801.7),(790.0),(799.6),
LULUCF Sector Net Totalf,(853.4),,(814.7),,(723.0),(775.5),(788.9),(763.9),(773.5),
Net Emissions (Sources and Sinks),"5,583.6",,"6,577.1",,"6,106.0","5,900.8","5,735.1","5,724.3","5,903.2",
